5350,PHYNAL LP (TANDEN) (AZSCAN)
5351,PHYNAL SP (TANDEN) (AZSCAN)
5352,PHYNAL SP+LP (TANDEN) (AZSCAN)
5360,MAC ZONE 1 (TANDEN/AKIDEN) (AZSCAN)
5361,MAC ZONE 2 (TANDEN/AKIDEN) (AZSCAN)
5371,OAC ZONE 2 (TANDEN/AKIDEN) (AZSCAN)
5374,ACFIT SPLINE KNOTS (TANDEN) (AZSCAN)
5400,PHYNAL LP (AKIDEN) (FIXED)
5401,PHYNAL SP (AKIDEN) (FIXED)
5402,PHYNAL SP+LP (AKIDEN) (FIXED)
5450,PHYNAL LP (AKIDEN) (ELSCAN)
5451,PHYNAL SP (AKIDEN) (ELSCAN)
5452,PHYNAL SP+LP (AKIDEN) (ELSCAN)
5500,ACPORT - FITTED GATE DATA FROM MANUAL ANTENNA CONTROL
5501,ACPORT - FITTED GATE DATA FROM DWELLS
5502,ACPORT - FITTED GATE DATA FROM AZSCANS
5503,ACPORT - FITTED GATE DATA FROM ELSCANS
5504,ACPORT - FITTED GATE DATA FROM COMPOSITE SCANS
5505,ACPORT - FITTED GATE DATA FROM VSR ELSCANS
5506,ACPORT - FITTED GATE DATA FROM VSR COMPSCANS
5520,ACPORT - FITTED GATE DATA (A16) FROM MANUAL ANTENNA CONTROL
5521,ACPORT - FITTED GATE DATA (A16) FROM DWELLS
5522,ACPORT - FITTED GATE DATA (A16) FROM AZSCANS
5523,ACPORT - FITTED GATE DATA (A16) FROM ELSCANS
5524,ACPORT - FITTED GATE DATA (A16) FROM COMPOSITE SCANS
5525,ACPORT - FITTED GATE DATA (A16) FROM VSR ELSCANS
5526,ACPORT - FITTED GATE DATA (A16) FROM VSR COMPSCANS
5650,PHYNAL LP (AKIDEN) (AZSCAN)
5651,PHYNAL SP (AKIDEN) (AZSCAN)
5652,PHYNAL SP+LP (AKIDEN) (AZSCAN)
5702,CP-M3-A
5704,CP-M3-B
5750,AMISR Alternating Code
5751,AMISR Long Pulse
5802,CP-M2-A
5804,CP-M2-B
5806,CP-M2-C
5808,CP-M2-D
5902,CP-M1-A
5921,Unknown ISR mode
5922,Unknown ISR mode
5923,Unknown ISR mode
5924,Unknown ISR mode
5950,Long Pulse (480)
5951,Alternating Code (AC16-30)
5952,Combination of BC; AC; and LP experiments
5960,Vector velocity from Long Pulse
5961,Long Pulse Uncorrected Ne
5962,Alternating Code Uncorrected Ne
5963,Barker Code Uncorrected Ne
5964,Combination of BC; AC; and LP experiment
5980,ISR spectral values
6000,Generic GUISDAP output
72_6001,Generic GUISDAP power profile
74_6001,Generic GUISDAP power profile
6008,CP-0-D
6010,CP-0-E
6012,CP-0-F
6014,CP-0-G
6015,CP-0-H
6016,CP-0-H
6041,Generic GUISDAP output
74_6042,User EISCAT data
6100,On-An pp resolution 0
6101,On-An pp resolution 1
72_6102,On-An pp resolution 2
6102,On-An pp resolution 2
6103,On-An pp resolution 3
6104,On-An pp resolution 4
6105,On-An pp resolution 5
6106,On-An pp resolution 6
6107,On-An pp resolution 7
6108,On-An pp resolution 8
6109,On-An pp resolution 9
6110,On-An pp resolution 0 gridded
6111,On-An pp resolution 1 gridded
6112,On-An pp resolution 2 gridded
6113,On-An pp resolution 3 gridded
6114,On-An pp resolution 4 gridded
6115,On-An pp resolution 5 gridded
6116,On-An pp resolution 6 gridded
6117,On-An pp resolution 7 gridded
6118,On-An pp resolution 8 gridded
6119,On-An pp resolution 9 gridded
6120,CP-1-J
6121,CP-1-K
6122,CP-1-K
6200,On-An params and ACF 0
6201,On-An params and ACF 1
71_6202,On-An params and ACF 2
72_6202,On-An params and ACF 2
73_6202,On-An params and ACF 2
6202,On-An params and ACF 2
6203,On-An params and ACF 3
6204,CP-2-B
6205,CP-2-C
6206,CP-2-C
6207,CP-2-D (Power Profile)
6208,CP-2-D
6209,CP-2-E (Power Profile)
6210,On-An params and ACF 0 gridded
6211,On-An params and ACF 1 gridded
6212,On-An params and ACF 2 gridded
6213,On-An params and ACF 3 gridded
6220,On-An cp6 ACF spectral params
6300,GUISDAP pp resolution 0
6301,GUISDAP pp resolution 1
6302,GUISDAP pp resolution 2
6303,GUISDAP pp resolution 3
6304,GUISDAP pp resolution 4
6305,GUISDAP pp resolution 5
6306,GUISDAP pp resolution 6
6307,GUISDAP pp resolution 7
6308,GUISDAP pp resolution 8
6309,GUISDAP pp resolution 9
6310,GUISDAP pp resolution 0 gridded
6311,GUISDAP pp resolution 1 gridded
6312,GUISDAP pp resolution 2 gridded
6313,GUISDAP pp resolution 3 gridded
6314,GUISDAP pp resolution 4 gridded
6315,GUISDAP pp resolution 5 gridded
6316,GUISDAP pp resolution 6 gridded
6317,GUISDAP pp resolution 7 gridded
6318,GUISDAP pp resolution 8 gridded
6319,GUISDAP pp resolution 9 gridded
6400,GUISDAP params 0
6401,GUISDAP params 1
6402,GUISDAP params 2
6403,GUISDAP params 3
6404,CP-4-B
6410,GUISDAP params 0 gridded
6411,GUISDAP params 1 gridded
6412,GUISDAP params 2 gridded
6413,GUISDAP params 3 gridded
6501,Vector params K
6502,Vector params U
6503,Vector params UK
6504,Vector params S
6505,Vector params KS
6506,Vector params US
6507,Vector params UKS
6508,Vector params V
6509,Vector params VK
6510,Vector params UV
6511,Vector params UVK
6512,Vector params VS
6513,Vector params VKS
6514,Vector params UVS
6515,Vector params UVKS
6516,Vector params Model
6517,Vector params K+Model
6518,Vector params U+Model
6519,Vector params UK+Model
6520,Vector params S+Model
6521,Vector params KS+Model
6522,Vector params US+Model
6523,Vector params UKS+Model
6524,Vector params V+Model
6525,Vector params VK+Model
6526,Vector params UV+Model
6527,Vector params UVK+Model 
6528,Vector params VS+Model
6529,Vector params VKS+Model
6530,Vector params UVS+Model
6531,Vector params UVKS+Model
6532,Vector params L
6533,Vector params LK
6534,Vector params LU
6535,Vector params LUK
6536,Vector params LS
6537,Vector params LKS
6538,Vector params LUS
6539,Vector params LUKS
6540,Vector params LV
6541,Vector params LVK
6542,Vector params LUV
6543,Vector params LUVK
6544,Vector params LVS
6545,Vector params LVKS
6546,Vector params LUVS
6547,Vector params LUVKS
6548,Vector params L+Model
6549,Vector params LK+Model
6550,Vector params LU+Model
6551,Vector params LUK+Model
6552,Vector params LS+Model
6553,Vector params LKS+Model
6554,Vector params LUS+Model
6555,Vector params LUKS+Model
6556,Vector params LV+Model
6557,Vector params LVK+Model
6558,Vector params LUV+Model
6559,Vector params LUVK+Model
6560,Vector params LVS+Model
6561,Vector params LVKS+Model
6562,Vector params LUVS+Model
6563,Vector params LUVKS+Model
6564,Vector params Dynasonde
6565,Vector params K+Dynasonde
6566,Vector params U+Dynasonde
6567,Vector params UK+Dynasonde
6568,Vector params S+Dynasonde
6569,Vector params KS+Dynasonde
6570,Vector params US+Dynasonde
6571,Vector params UKS+Dynasonde
6572,Vector params V+Dynasonde
6573,Vector params VK+Dynasonde
6574,Vector params UV+Dynasonde
6575,Vector params UVK+Dynasonde
6576,Vector params VS+Dynasonde
6577,Vector params VKS+Dynasonde
6578,Vector params UVS+Dynasonde
6579,Vector params UVKS+Dynasonde
6580,Vector params Model+Dynasonde
6581,Vector params K+Model+Dynasonde
6582,Vector params U+Model+Dynasonde
6583,Vector params UK+Model+Dynasonde
6584,Vector params S+Model+Dynasonde
6585,Vector params KS+Model+Dynasonde
6586,Vector params US+Model+Dynasonde
6587,Vector params UKS+Model+Dynasonde
6588,Vector params V+Model+Dynasonde
6589,Vector params VK+Model+Dynasonde
6590,Vector params UV+Model+Dynasonde
6591,Vector params UVK+Model+Dynasonde
6592,Vector params VS+Model+Dynasonde
6593,Vector params VKS+Model+Dynasonde
6594,Vector params UVS+Model+Dynasonde
6595,Vector params UVKS+Model+Dynasonde
6596,Vector params L+Dynasonde
6597,Vector params LK+Dynasonde
6598,Vector params LU+Dynasonde
6599,Vector params LUK+Dynasonde
6600,Vector params LS+Dynasonde
6601,Vector params LKS+Dynasonde
6602,Vector params LUS+Dynasonde
6603,Vector paraks LUKS+Dynasonde
6604,Vector params LV+Dynasonde
